			"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
			baN	fL	nhfL	lfL	ffL	labF	corLF	sibF	CCF	CiCB
Szólingy	Szólingynak	0	0	1	0	0	0	0	0	0	1	0
Szólingy	Szólingynek	1	1	0	0	0	0	0	0	0	0	0
étt	éttnak	1	0	1	1	0	0	0	0	0	1	0
étt	éttnek	0	0	0	0	0	0	0	0	0	0	0
Csazenip	Csazenipnak	1	0	1	0	0	1	1	0	0	0	0
Csazenip	Csazenipnek	0	1	0	0	0	0	0	0	0	0	0
nazék	nazéknak	1	0	1	1	0	0	0	0	0	0	0
nazék	nazéknek	0	1	0	0	0	0	0	0	0	0	0
mámorkébb	mámorkébbnak	1	0	1	1	0	0	1	0	0	1	0
mámorkébb	mámorkébbnek	0	1	0	0	0	0	0	0	0	0	0
prágyálerc	prágyálercnak	1	0	1	1	1	0	0	0	1	1	0
prágyálerc	prágyálercnek	0	1	0	0	0	0	0	0	0	0	0
Sziz	Sziznak	1	0	1	0	0	0	0	0	1	0	0
Sziz	Sziznek	0	0	0	0	0	0	0	0	0	0	0
Tomámis	Tomámisnak	0	0	1	0	0	0	0	0	1	0	0
Tomámis	Tomámisnek	1	1	0	0	0	0	0	0	0	0	0
Vúnték	Vúntéknak	0	0	1	1	0	0	0	0	0	0	0
Vúnték	Vúntéknek	1	1	0	0	0	0	0	0	0	0	0
Tarkím	Tarkímnak	0	0	1	0	0	0	1	0	0	0	0
Tarkím	Tarkímnek	1	1	0	0	0	0	0	0	0	0	0
rovel	rovelnak	1	0	1	1	1	0	0	1	0	0	0
rovel	rovelnek	0	1	0	0	0	0	0	0	0	0	0
gir	girnak	0	0	1	0	0	0	0	1	0	0	0
gir	girnek	1	0	0	0	0	0	0	0	0	0	0
merny	mernynak	1	0	1	1	1	0	0	1	0	1	0
merny	mernynek	0	0	0	0	0	0	0	0	0	0	0
Szidt	Szidtnak	0	0	1	0	0	0	0	0	0	1	0
Szidt	Szidtnek	1	0	0	0	0	0	0	0	0	0	0
fuksir	fuksirnak	1	0	1	0	0	0	0	1	0	0	0
fuksir	fuksirnek	0	1	0	0	0	0	0	0	0	0	0
Jémb	Jémbnak	0	0	1	1	0	0	1	0	0	1	0
Jémb	Jémbnek	1	0	0	0	0	0	0	0	0	0	0
antortém	antortémnak	0	0	1	1	0	0	1	0	0	0	0
antortém	antortémnek	1	1	0	0	0	0	0	0	0	0	0
ádzeskell	ádzeskellnak	1	0	1	1	1	1	0	1	0	1	0
ádzeskell	ádzeskellnek	0	1	0	0	0	0	0	0	0	0	0
kávíd	kávídnak	1	0	1	0	0	0	0	0	0	0	0
kávíd	kávídnek	0	1	0	0	0	0	0	0	0	0	0
Fokreg	Fokregnak	0	0	1	1	1	0	0	0	0	0	0
Fokreg	Fokregnek	1	1	0	0	0	0	0	0	0	0	0
Morogéns	Morogénsnak	0	0	1	1	0	0	0	0	1	1	0
Morogéns	Morogénsnek	1	1	0	0	0	0	0	0	0	0	0
Kosis	Kosisnak	0	0	1	0	0	0	0	0	1	0	0
Kosis	Kosisnek	1	1	0	0	0	0	0	0	0	0	0
Il	Ilnak	0	0	1	0	0	0	0	1	0	0	0
Il	Ilnek	1	0	0	0	0	0	0	0	0	0	0
szes	szesnak	1	0	1	1	1	0	0	0	1	0	0
szes	szesnek	0	0	0	0	0	0	0	0	0	0	0
málédt	málédtnak	0	0	1	1	0	0	0	0	0	1	0
málédt	málédtnek	1	1	0	0	0	0	0	0	0	0	0
vém	vémnak	1	0	1	1	0	0	1	0	0	0	0
vém	vémnek	0	0	0	0	0	0	0	0	0	0	0
Ir	Irnak	0	0	1	0	0	0	0	1	0	0	0
Ir	Irnek	1	0	0	0	0	0	0	0	0	0	0
fareb	farebnak	0	0	1	1	1	0	1	0	0	0	0
fareb	farebnek	1	1	0	0	0	0	0	0	0	0	0
Bányorelt	Bányoreltnak	0	0	1	1	1	0	0	0	0	1	0
Bányorelt	Bányoreltnek	1	1	0	0	0	0	0	0	0	0	0
