UR	SR	humanSubj Freq	"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__	Observed Probability p(SR|UR)	t=1.5 Predicted Probability	t=1.5 Error	t=1 Predicted Probability	t=1 Error
Szólingy	Szólingynak	1	0	1	0	0	0	0	0	0	1	0	1	0.788070409	-0.211929591	0.877611113	-0.122388887
Szólingy	Szólingynek	0	1	0	0	0	0	0	0	0	0	0	0	0.211929591	0.211929591	0.122388887	0.122388887
étt	éttnak	0	0	1	1	0	0	0	0	0	1	0	0	0.018603647	0.018603647	0.003769867	0.003769867
étt	éttnek	1	0	0	0	0	0	0	0	0	0	0	0.5	0.481396353	-0.018603647	0.496230133	-0.003769867
Csazenip	Csazenipnak	0	0	1	0	0	1	1	0	0	0	0	0	0.134703052	0.134703052	0.057866955	0.057866955
Csazenip	Csazenipnek	1	1	0	0	0	0	0	0	0	0	0	1	0.865296948	-0.134703052	0.942133045	-0.057866955
nazék	nazéknak	1	0	1	1	0	0	0	0	0	0	0	1	0.816578061	-0.183421939	0.903784458	-0.096215542
nazék	nazéknek	0	1	0	0	0	0	0	0	0	0	0	0	0.183421939	0.183421939	0.096215542	0.096215542
mámorkébb	mámorkébbnak	1	0	1	1	0	0	1	0	0	1	0	1	0.215289144	-0.784710856	0.125647857	-0.874352143
mámorkébb	mámorkébbnek	0	1	0	0	0	0	0	0	0	0	0	0	0.784710856	0.784710856	0.874352143	0.874352143
prágyálerc	prágyálercnak	1	0	1	1	1	0	0	0	1	1	0	1	0.093921496	-0.906078504	0.032295465	-0.967704535
prágyálerc	prágyálercnek	0	1	0	0	0	0	0	0	0	0	0	0	0.906078504	0.906078504	0.967704535	0.967704535
Sziz	Sziznak	0	0	1	0	0	0	0	0	1	0	0	0	0.150161706	0.150161706	0.06913842	0.06913842
Sziz	Sziznek	1	0	0	0	0	0	0	0	0	0	0	1	0.849838294	-0.150161706	0.93086158	-0.06913842
Tomámis	Tomámisnak	1	0	1	0	0	0	0	0	1	0	0	1	0.865296948	-0.134703052	0.942133045	-0.057866955
Tomámis	Tomámisnek	0	1	0	0	0	0	0	0	0	0	0	0	0.134703052	0.134703052	0.057866955	0.057866955
Vúnték	Vúntéknak	1	0	1	1	0	0	0	0	0	0	0	1	0.816578061	-0.183421939	0.903784458	-0.096215542
Vúnték	Vúntéknek	0	1	0	0	0	0	0	0	0	0	0	0	0.183421939	0.183421939	0.096215542	0.096215542
Tarkím	Tarkímnak	1	0	1	0	0	0	1	0	0	0	0	1	0.697059284	-0.302940716	0.777299861	-0.222700139
Tarkím	Tarkímnek	0	1	0	0	0	0	0	0	0	0	0	0	0.302940716	0.302940716	0.222700139	0.222700139
rovel	rovelnak	0	0	1	1	1	0	0	1	0	0	0	0	0.226765369	0.226765369	0.137051293	0.137051293
rovel	rovelnek	1	1	0	0	0	0	0	0	0	0	0	1	0.773234631	-0.226765369	0.862948707	-0.137051293
gir	girnak	0	0	1	0	0	0	0	1	0	0	0	0	0.068132372	0.068132372	0.029483507	0.029483507
gir	girnek	1	0	0	0	0	0	0	0	0	0	0	0.5	0.431867628	-0.068132372	0.470516493	-0.029483507
merny	mernynak	0	0	1	1	1	0	0	1	0	1	0	0	0.002539277	0.002539277	0.00012843	0.00012843
merny	mernynek	1	0	0	0	0	0	0	0	0	0	0	1	0.997460723	-0.002539277	0.99987157	-0.00012843
Szidt	Szidtnak	0	0	1	0	0	0	0	0	0	1	0	0	0.046396477	0.046396477	0.015838114	0.015838114
Szidt	Szidtnek	1	0	0	0	0	0	0	0	0	0	0	0.5	0.453603523	-0.046396477	0.484161886	-0.015838114
fuksir	fuksirnak	0	0	1	0	0	0	0	1	0	0	0	0	0.851531878	0.851531878	0.932137706	0.932137706
fuksir	fuksirnek	1	1	0	0	0	0	0	0	0	0	0	1	0.148468122	-0.851531878	0.067862294	-0.932137706
Jémb	Jémbnak	0	0	1	1	0	0	1	0	0	1	0	0	0.003745006	0.003745006	0.000327572	0.000327572
Jémb	Jémbnek	1	0	0	0	0	0	0	0	0	0	0	0.5	0.496254994	-0.003745006	0.499672428	-0.000327572
antortém	antortémnak	1	0	1	1	0	0	1	0	0	0	0	1	0.465057055	-0.534942945	0.44769209	-0.55230791
antortém	antortémnek	0	1	0	0	0	0	0	0	0	0	0	0	0.534942945	0.534942945	0.55230791	0.55230791
ádzeskell	ádzeskellnak	0	0	1	1	1	1	0	1	0	1	0	0	0.006222551	0.006222551	0.000495226	0.000495226
ádzeskell	ádzeskellnek	1	1	0	0	0	0	0	0	0	0	0	1	0.993777449	-0.006222551	0.999504774	-0.000495226
kávíd	kávídnak	1	0	1	0	0	0	0	0	0	0	0	1	0.921771741	-0.078228259	0.975872979	-0.024127021
kávíd	kávídnek	0	1	0	0	0	0	0	0	0	0	0	0	0.078228259	0.078228259	0.024127021	0.024127021
Fokreg	Fokregnak	1	0	1	1	1	0	0	0	0	0	0	1	0.375975261	-0.624024739	0.318646266	-0.681353734
Fokreg	Fokregnek	0	1	0	0	0	0	0	0	0	0	0	0	0.624024739	0.624024739	0.681353734	0.681353734
Morogéns	Morogénsnak	0	0	1	1	0	0	0	0	1	1	0	0	0.433725606	0.433725606	0.40131234	0.40131234
Morogéns	Morogénsnek	1	1	0	0	0	0	0	0	0	0	0	1	0.566274394	-0.433725606	0.59868766	-0.40131234
Kosis	Kosisnak	1	0	1	0	0	0	0	0	1	0	0	1	0.865296948	-0.134703052	0.942133045	-0.057866955
Kosis	Kosisnek	0	1	0	0	0	0	0	0	0	0	0	0	0.134703052	0.134703052	0.057866955	0.057866955
Il	Ilnak	0	0	1	0	0	0	0	1	0	0	0	0	0.136264744	0.136264744	0.058967013	0.058967013
Il	Ilnek	1	0	0	0	0	0	0	0	0	0	0	1	0.863735256	-0.136264744	0.941032987	-0.058967013
szes	szesnak	0	0	1	1	1	0	0	0	1	0	0	0	0.002984649	0.002984649	0.000286014	0.000286014
szes	szesnek	1	0	0	0	0	0	0	0	0	0	0	0.333333333	0.330348685	-0.002984649	0.33304732	-0.000286014
málédt	málédtnak	1	0	1	1	0	0	0	0	0	1	0	1	0.584190523	-0.415809477	0.624806474	-0.375193526
málédt	málédtnek	0	1	0	0	0	0	0	0	0	0	0	0	0.415809477	0.415809477	0.375193526	0.375193526
vém	vémnak	0	0	1	1	0	0	1	0	0	0	0	0	0.023354516	0.023354516	0.00368424	0.00368424
vém	vémnek	1	0	0	0	0	0	0	0	0	0	0	1	0.976645484	-0.023354516	0.99631576	-0.00368424
Ir	Irnak	0	0	1	0	0	0	0	1	0	0	0	0	0.136264744	0.136264744	0.058967013	0.058967013
Ir	Irnek	1	0	0	0	0	0	0	0	0	0	0	1	0.863735256	-0.136264744	0.941032987	-0.058967013
fareb	farebnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
fareb	farebnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
Bányorelt	Bányoreltnak	1	0	1	1	1	0	0	0	0	1	0	1	0.159761997	-0.840238003	0.076562197	-0.923437803
Bányorelt	Bányoreltnek	0	1	0	0	0	0	0	0	0	0	0	0	0.840238003	0.840238003	0.923437803	0.923437803
áhbés	áhbésnak	0	0	1	1	0	0	0	0	1	0	0	0	0.708201811	0.708201811	0.790840635	0.790840635
áhbés	áhbésnek	1	1	0	0	0	0	0	0	0	0	0	1	0.291798189	-0.708201811	0.209159365	-0.790840635
gélt	géltnak	0	0	1	1	0	0	0	0	0	1	0	0	0.037207293	0.037207293	0.007539735	0.007539735
