			AGREE(back,nonlocal)	AGREE(front,local)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
			baN	fL	nhfL	lfL	ffL	labF	corLF	sibF	CCF	CiCB
Szólingy	Szólingynak	1	0	1	0	0	0	0	0	0	1	0
Szólingy	Szólingynek	0	1	0	0	0	0	0	0	0	0	0
étt	éttnak	0	0	1	1	0	0	0	0	0	1	0
étt	éttnek	1	0	0	0	0	0	0	0	0	0	0
Csazenip	Csazenipnak	0	0	1	0	0	1	1	0	0	0	0
Csazenip	Csazenipnek	1	1	0	0	0	0	0	0	0	0	0
nazék	nazéknak	1	0	1	1	0	0	0	0	0	0	0
nazék	nazéknek	0	1	0	0	0	0	0	0	0	0	0
mámorkébb	mámorkébbnak	1	0	1	1	0	0	1	0	0	1	0
mámorkébb	mámorkébbnek	0	1	0	0	0	0	0	0	0	0	0
prágyálerc	prágyálercnak	1	0	1	1	1	0	0	0	1	1	0
prágyálerc	prágyálercnek	0	1	0	0	0	0	0	0	0	0	0
Sziz	Sziznak	0	0	1	0	0	0	0	0	1	0	0
Sziz	Sziznek	1	0	0	0	0	0	0	0	0	0	0
Tomámis	Tomámisnak	1	0	1	0	0	0	0	0	1	0	0
Tomámis	Tomámisnek	0	1	0	0	0	0	0	0	0	0	0
Vúnték	Vúntéknak	1	0	1	1	0	0	0	0	0	0	0
Vúnték	Vúntéknek	0	1	0	0	0	0	0	0	0	0	0
Tarkím	Tarkímnak	1	0	1	0	0	0	1	0	0	0	0
Tarkím	Tarkímnek	0	1	0	0	0	0	0	0	0	0	0
rovel	rovelnak	0	0	1	1	1	0	0	1	0	0	0
rovel	rovelnek	1	1	0	0	0	0	0	0	0	0	0
gir	girnak	0	0	1	0	0	0	0	1	0	0	0
gir	girnek	1	0	0	0	0	0	0	0	0	0	0
merny	mernynak	0	0	1	1	1	0	0	1	0	1	0
merny	mernynek	1	0	0	0	0	0	0	0	0	0	0
Szidt	Szidtnak	0	0	1	0	0	0	0	0	0	1	0
Szidt	Szidtnek	1	0	0	0	0	0	0	0	0	0	0
fuksir	fuksirnak	0	0	1	0	0	0	0	1	0	0	0
fuksir	fuksirnek	1	1	0	0	0	0	0	0	0	0	0
Jémb	Jémbnak	0	0	1	1	0	0	1	0	0	1	0
Jémb	Jémbnek	1	0	0	0	0	0	0	0	0	0	0
antortém	antortémnak	1	0	1	1	0	0	1	0	0	0	0
antortém	antortémnek	0	1	0	0	0	0	0	0	0	0	0
ádzeskell	ádzeskellnak	0	0	1	1	1	1	0	1	0	1	0
ádzeskell	ádzeskellnek	1	1	0	0	0	0	0	0	0	0	0
kávíd	kávídnak	1	0	1	0	0	0	0	0	0	0	0
kávíd	kávídnek	0	1	0	0	0	0	0	0	0	0	0
Fokreg	Fokregnak	1	0	1	1	1	0	0	0	0	0	0
Fokreg	Fokregnek	0	1	0	0	0	0	0	0	0	0	0
Morogéns	Morogénsnak	0	0	1	1	0	0	0	0	1	1	0
Morogéns	Morogénsnek	1	1	0	0	0	0	0	0	0	0	0
Kosis	Kosisnak	1	0	1	0	0	0	0	0	1	0	0
Kosis	Kosisnek	0	1	0	0	0	0	0	0	0	0	0
Il	Ilnak	0	0	1	0	0	0	0	1	0	0	0
Il	Ilnek	1	0	0	0	0	0	0	0	0	0	0
szes	szesnak	0	0	1	1	1	0	0	0	1	0	0
szes	szesnek	1	0	0	0	0	0	0	0	0	0	0
málédt	málédtnak	1	0	1	1	0	0	0	0	0	1	0
málédt	málédtnek	0	1	0	0	0	0	0	0	0	0	0
vém	vémnak	0	0	1	1	0	0	1	0	0	0	0
vém	vémnek	1	0	0	0	0	0	0	0	0	0	0
Ir	Irnak	0	0	1	0	0	0	0	1	0	0	0
Ir	Irnek	1	0	0	0	0	0	0	0	0	0	0
fareb	farebnak	0	0	1	1	1	0	1	0	0	0	0
fareb	farebnek	1	1	0	0	0	0	0	0	0	0	0
Bányorelt	Bányoreltnak	1	0	1	1	1	0	0	0	0	1	0
Bányorelt	Bányoreltnek	0	1	0	0	0	0	0	0	0	0	0
áhbés	áhbésnak	0	0	1	1	0	0	0	0	1	0	0
áhbés	áhbésnek	1	1	0	0	0	0	0	0	0	0	0
gélt	géltnak	0	0	1	1	0	0	0	0	0	1	0
gélt	géltnek	1	0	0	0	0	0	0	0	0	0	0
valell	valellnak	1	0	1	1	1	0	0	1	0	1	0
valell	valellnek	0	1	0	0	0	0	0	0	0	0	0
Unónem	Unónemnak	0	0	1	1	1	0	1	0	0	0	0
Unónem	Unónemnek	1	1	0	0	0	0	0	0	0	0	0
Szeny	Szenynak	0	0	1	1	1	0	0	1	0	0	0
Szeny	Szenynek	1	0	0	0	0	0	0	0	0	0	0
Mérm	Mérmnak	0	0	1	1	0	0	1	0	0	1	0
Mérm	Mérmnek	1	0	0	0	0	0	0	0	0	0	0
Pé	Pénak	0	0	1	1	0	0	0	0	0	0	0
Pé	Pének	1	0	0	0	0	0	0	0	0	0	0
ortávít	ortávítnak	1	0	1	0	0	0	0	0	0	0	0
ortávít	ortávítnek	0	1	0	0	0	0	0	0	0	0	0
hins	hinsnak	0	0	1	0	0	0	0	0	1	1	0
hins	hinsnek	1	0	0	0	0	0	0	0	0	0	0
mogés	mogésnak	1	0	1	1	0	0	0	0	1	0	0
mogés	mogésnek	0	1	0	0	0	0	0	0	0	0	0
Lazind	Lazindnak	1	0	1	0	0	0	0	0	0	1	0
Lazind	Lazindnek	0	1	0	0	0	0	0	0	0	0	0
dónlozes	dónlozesnak	0	0	1	1	1	0	0	0	1	0	0
dónlozes	dónlozesnek	1	1	0	0	0	0	0	0	0	0	0
Pangim	Pangimnak	1	0	1	0	0	0	1	0	0	0	0
Pangim	Pangimnek	0	1	0	0	0	0	0	0	0	0	0
kupirih	kupirihnak	1	0	1	0	0	1	0	0	0	0	0
kupirih	kupirihnek	0	1	0	0	0	0	0	0	0	0	0
áten	átennak	0	0	1	1	1	0	0	1	0	0	0
áten	átennek	1	1	0	0	0	0	0	0	0	0	0
gyejn	gyejnnak	0	0	1	1	1	0	0	1	0	1	0
gyejn	gyejnnek	1	0	0	0	0	0	0	0	0	0	0
Gyámózemb	Gyámózembnak	0	0	1	1	1	0	1	0	0	1	0
Gyámózemb	Gyámózembnek	1	1	0	0	0	0	0	0	0	0	0
Gye	Gyenak	1	0	1	1	1	0	0	0	0	0	0
